ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,CircSD_deg
Exp1_S20,12,mid,far,mid,0.625,43.1252180203136
Exp1_S20,13,mid,no flankers,mid,Inf,23.0060485488179
Exp1_S21,1,mid,mid,mid,5,9.98804993011812
Exp1_S21,2,mid,mid,mid,2.5,17.518331915353
Exp1_S21,3,mid,mid,mid,1.25,18.371896534523
Exp1_S21,4,mid,mid,mid,0.625,29.8036602052269
Exp1_S21,5,mid,near,mid,5,40.1015054331025
Exp1_S21,6,mid,near,mid,2.5,21.431059512811
Exp1_S21,7,mid,near,mid,1.25,42.2992866832324
Exp1_S21,8,mid,near,mid,0.625,57.7829365194019
Exp1_S21,9,mid,far,mid,5,22.969616534726
Exp1_S21,10,mid,far,mid,2.5,19.0225884110173
Exp1_S21,11,mid,far,mid,1.25,53.581879981884
Exp1_S21,12,mid,far,mid,0.625,6.98086153788768
Exp1_S21,13,mid,no flankers,mid,Inf,18.8637704094115
Exp1_S22,1,mid,mid,mid,5,NaN
Exp1_S22,2,mid,mid,mid,2.5,NaN
Exp1_S22,3,mid,mid,mid,1.25,NaN
Exp1_S22,4,mid,mid,mid,0.625,NaN
Exp1_S22,5,mid,near,mid,5,NaN
Exp1_S22,6,mid,near,mid,2.5,NaN
Exp1_S22,7,mid,near,mid,1.25,NaN
Exp1_S22,8,mid,near,mid,0.625,NaN
Exp1_S22,9,mid,far,mid,5,NaN
Exp1_S22,10,mid,far,mid,2.5,NaN
Exp1_S22,11,mid,far,mid,1.25,NaN
Exp1_S22,12,mid,far,mid,0.625,NaN
Exp1_S22,13,mid,no flankers,mid,Inf,15.7326527315553
Exp1_S2,1,mid,mid,mid,5,9.1572839019704
Exp1_S2,2,mid,mid,mid,2.5,14.3872214791363
Exp1_S2,3,mid,mid,mid,1.25,15.5914647745107
Exp1_S2,4,mid,mid,mid,0.625,13.0944272107185
Exp1_S2,5,mid,near,mid,5,14.3146791453099
Exp1_S2,6,mid,near,mid,2.5,16.1972305289969
Exp1_S2,7,mid,near,mid,1.25,15.977183173803
Exp1_S2,8,mid,near,mid,0.625,21.7548757613728
Exp1_S2,9,mid,far,mid,5,19.2576161452427
Exp1_S2,10,mid,far,mid,2.5,18.8277385255915
Exp1_S2,11,mid,far,mid,1.25,33.6636492092902
Exp1_S2,12,mid,far,mid,0.625,11.4062273366166
Exp1_S2,13,mid,no flankers,mid,Inf,13.7822208732198
Exp1_S3,1,mid,mid,mid,5,18.218448227304
Exp1_S3,2,mid,mid,mid,2.5,10.3304796159504
Exp1_S3,3,mid,mid,mid,1.25,23.2048157982908
Exp1_S3,4,mid,mid,mid,0.625,14.9158935283348
Exp1_S3,5,mid,near,mid,5,16.4023569032262
Exp1_S3,6,mid,near,mid,2.5,18.6420313894651
Exp1_S3,7,mid,near,mid,1.25,16.8905936445015
Exp1_S3,8,mid,near,mid,0.625,26.5435086626052
