ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg
Exp1_S8,12,mid,far,mid,0.625,5,2,2,1,0,44.1600527938784
Exp1_S8,13,mid,no flankers,mid,Inf,3,0,0,0,7,15.9762877139222
Exp1_S9,1,mid,mid,mid,5,10,0,0,0,0,23.8302545072311
Exp1_S9,2,mid,mid,mid,2.5,9,1,0,0,0,18.5764787519833
Exp1_S9,3,mid,mid,mid,1.25,9,1,0,0,0,14.2705014212507
Exp1_S9,4,mid,mid,mid,0.625,10,0,0,0,0,25.7021664204253
Exp1_S9,5,mid,near,mid,5,8,2,0,0,0,26.1342835944566
Exp1_S9,6,mid,near,mid,2.5,7,3,0,0,0,38.918759543691
Exp1_S9,7,mid,near,mid,1.25,10,0,0,0,0,16.4955744876552
Exp1_S9,8,mid,near,mid,0.625,7,3,0,0,0,78.612219002267
Exp1_S9,9,mid,far,mid,5,8,2,0,0,0,36.7713806363658
Exp1_S9,10,mid,far,mid,2.5,5,5,0,0,0,75.1171662740207
Exp1_S9,11,mid,far,mid,1.25,10,0,0,0,0,72.7467990404568
Exp1_S9,12,mid,far,mid,0.625,6,1,3,0,0,48.7499407771696
Exp1_S9,13,mid,no flankers,mid,Inf,3,0,1,0,6,22.7077566639247
